thumb_rms,thumb_mav,thumb_wl,thumb_zc,thumb_ssc,thumb_var,index_rms,index_mav,index_wl,index_zc,index_ssc,index_var,middle_rms,middle_mav,middle_wl,middle_zc,middle_ssc,middle_var,ring_rms,ring_mav,ring_wl,ring_zc,ring_ssc,ring_var,little_rms,little_mav,little_wl,little_zc,little_ssc,little_var,label
511.7993008194216,511.7389671361503,698.200000000001,0,124,61.75383367497621,509.6608464496325,509.6253521126761,487.00000000000017,0,102,36.178887786814705,512.1076800463369,512.0774647887324,487.79999999999995,0,101,30.946017985849306,504.8285219950615,504.3145539906104,860.0000000000014,0,109,518.6672529700896,148.29703095366193,148.29389671361503,87.6000000000007,0,83,0.9295871630408422,0
511.47512547542283,511.41293532338307,698.8000000000011,0,125,63.61356402069248,510.3343388533985,510.3039800995025,487.40000000000026,0,103,30.985307541892485,511.5280690955647,511.50099502487564,489.9999999999999,0,101,27.69756119898018,504.95293618434783,504.4084577114428,860.6000000000013,0,110,549.5755503576645,148.37509412706004,148.37213930348258,88.00000000000071,0,83,0.8768357218880707,0
511.10477487445854,511.0407407407407,700.600000000001,0,126,65.45220262590625,511.0933608373948,511.06984126984133,487.80000000000035,0,104,24.040836482741238,510.8803397932843,510.857671957672,492.3999999999999,0,101,23.160589289213608,505.09098033195806,504.5121693121693,861.4000000000012,0,110,584.3694286274181,148.46354655633368,148.46084656084656,88.20000000000073,0,83,0.8016945214299687,0
510.78463924007724,510.71807909604524,678.8000000000008,0,120,67.99136806154036,511.7266609042624,511.7090395480226,468.0000000000001,0,100,18.03432506623259,510.4277711924771,510.40903954802263,466.19999999999976,0,98,19.12195218487664,507.0504592726325,506.74858757062145,454.4000000000015,0,104,306.03724376775506,148.51486371997487,148.51242937853107,84.4000000000008,0,81,0.7230658495323788,0
509.4682864605911,509.4236363636363,654.0000000000007,0,119,45.493623140495856,512.1424432536501,512.1260606060606,459.0,0,99,16.78022993572086,510.3334764760404,510.3139393939394,454.7999999999997,0,97,19.940472359963284,508.32755247582304,508.3212121212121,249.60000000000156,0,103,6.445913682277303,148.4008486457806,148.39878787878789,83.80000000000081,0,80,0.611634894398528,0
508.406079269228,508.37908496732024,621.6000000000009,0,115,27.447405698662912,512.6090681328474,512.59477124183,429.4,0,93,14.657227562048787,510.18473073694025,510.16405228758174,433.79999999999984,0,93,21.0992306377889,507.98996812183043,507.9849673202615,240.4000000000014,0,98,5.0806890512196174,148.28466308822888,148.28300653594772,79.8000000000007,0,73,0.49127984963048194,0
508.1804999873331,508.15248226950354,582.200000000001,0,102,28.475330717770735,512.7725582106561,512.7574468085107,395.6,0,83,15.497196318092646,509.8949409242475,509.8737588652482,401.99999999999955,0,84,21.60080076454907,507.9386177803615,507.9333333333334,222.00000000000114,0,89,5.368321513002362,148.22932731135666,148.22765957446808,74.60000000000048,0,66,0.4944122529047806,0
508.296127600175,508.2674418604651,530.4000000000009,0,89,29.16087795204616,512.8643158883526,512.8480620155038,365.9999999999998,0,71,16.671798569797478,509.6450972159735,509.62248062015505,374.3999999999995,0,75,23.05236283877172,507.90494319097695,507.89922480620163,208.400000000001,0,82,5.8087590889970535,148.19704670189213,148.1953488372093,67.00000000000043,0,62,0.5032341806381796,0
508.2458742753833,508.2153846153847,480.4000000000009,0,81,30.991558185404344,512.9990248403788,512.9820512820513,324.59999999999934,0,63,17.414549638395776,509.5641474258961,509.5393162393163,335.79999999999956,0,65,25.305548250420077,507.7836234117129,507.77777777777777,190.6000000000006,0,74,5.936600189933516,148.12552369268022,148.1239316239316,59.800000000000324,0,52,0.47164949959821406,0
508.8818410893399,508.85238095238094,440.4000000000006,0,72,29.98258956916099,512.8493375715904,512.832380952381,296.7999999999994,0,59,17.392094331065746,509.00384300167735,508.9800000000001,304.3999999999997,0,56,24.271790476190503,507.93560484245114,507.92952380952386,172.2000000000005,0,66,6.177509297052146,148.13683892813106,148.1352380952381,55.200000000000216,0,50,0.4742820861677965,0
509.58381880422456,509.56129032258076,396.40000000000026,0,63,22.95979188345473,512.9591226456319,512.941935483871,261.59999999999945,0,50,17.632327436697867,508.4169861717417,508.3956989247312,273.7999999999999,0,48,21.645142791074118,508.1043699405548,508.09892473118276,154.60000000000048,0,56,5.533439704012023,148.13071385467896,148.1290322580645,50.80000000000021,0,46,0.49818938605618746,0
509.5266212650501,509.50370370370376,348.60000000000025,0,57,23.353689986282568,512.8728957163694,512.8555555555556,222.19999999999925,0,42,17.78629629629627,508.42233659200997,508.3987654320988,236.7999999999999,0,43,23.967652796829764,508.08836088729277,508.0827160493828,135.20000000000022,0,50,5.736121018137476,148.1499140635493,148.14814814814815,44.00000000000023,0,40,0.5232373113854559,0
509.2136686007703,509.1927536231884,288.5999999999998,0,49,21.299947490023047,512.4151122345796,512.3985507246376,189.19999999999936,0,37,16.972461667716857,509.1255837217376,509.1028985507247,212.2,0,37,23.098687250577637,508.0717169506854,508.0666666666668,108.00000000000034,0,41,5.131787439613525,148.24231045385002,148.2405797101449,38.60000000000022,0,38,0.5131358958202025,0
509.34643468499496,509.3280701754386,241.79999999999978,0,45,18.707457679285874,512.266000666252,512.2491228070176,160.19999999999936,0,33,17.291622037550013,509.10647388771827,509.08245614035087,178.00000000000006,0,34,24.454604493690425,508.14493995315945,508.14035087719304,91.60000000000036,0,39,4.663810403200999,148.2420412940187,148.240350877193,32.0000000000002,0,33,0.5011788242536135,0
509.919112975556,509.90444444444444,182.60000000000008,0,36,14.959313580246892,512.9386040800161,512.9244444444444,118.19999999999987,0,27,14.52584691358025,507.9225649643851,507.9000000000001,140.99999999999977,0,29,22.921999999999993,508.68952373285174,508.6866666666668,65.60000000000053,0,31,2.9067111111111243,148.14168743319877,148.14000000000001,24.800000000000267,0,27,0.499955555555553,0
510.1052220628187,510.0878787878788,127.40000000000009,0,23,17.69348943985306,513.9472358249641,513.9333333333333,78.59999999999974,0,17,14.290101010101012,506.59228720396595,506.5696969696971,101.39999999999958,0,20,22.887566574839248,508.7792138883511,508.77575757575767,46.000000000000455,0,20,3.516988062442622,147.9654177451098,147.96363636363637,15.600000000000165,0,16,0.5271625344352584,0
508.9604289734808,508.93913043478256,86.60000000000048,0,13,21.67977315689981,514.7613089747434,514.7478260869566,32.79999999999973,0,9,13.88075614366729,507.37412574771776,507.34347826086963,66.39999999999952,0,15,31.09854442344038,507.8899641183845,507.88695652173914,29.800000000000296,0,12,3.0550472589792212,147.72319001959448,147.72173913043477,8.600000000000222,0,14,0.4286578449905482,0
509.51455668926764,509.49565217391296,94.00000000000028,0,18,19.26389413988658,514.8268421433602,514.8130434782609,49.799999999999955,0,10,14.207655954631415,507.1781395302752,507.1521739130435,73.59999999999974,0,13,26.337712665406467,508.3366524006636,508.33478260869566,30.600000000000136,0,10,1.900964083175807,147.6579272449023,147.65652173913045,10.200000000000102,0,8,0.41506616257088624,0
509.8338672292309,509.8173913043478,104.60000000000036,0,23,16.799697542533046,512.0360016214893,512.0304347826087,54.00000000000068,0,18,5.700812854442384,509.2254612986105,509.2173913043479,63.39999999999992,0,14,8.218827977315692,508.27998959833843,508.27826086956526,32.60000000000002,0,18,1.7573534971644535,148.34049551183134,148.33913043478262,10.800000000000011,0,12,0.4049905482041572,0
